"activityType" "subject" "averageOfVariable" "variableName"
"WALKING_UPSTAIRS" "7" 0.270211697814935 "tBodyAcc-mean()-X"
"LAYING" "8" NA "tBodyAcc-mean()-X"
"SITTING" "8" NA "tBodyAcc-mean()-X"
"STANDING" "8" NA "tBodyAcc-mean()-X"
"WALKING" "8" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "8" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "8" 0.270759063295374 "tBodyAcc-mean()-X"
"LAYING" "9" NA "tBodyAcc-mean()-X"
"SITTING" "9" NA "tBodyAcc-mean()-X"
"STANDING" "9" NA "tBodyAcc-mean()-X"
"WALKING" "9" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "9" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "9" 0.270313841621528 "tBodyAcc-mean()-X"
"LAYING" "10" NA "tBodyAcc-mean()-X"
"SITTING" "10" NA "tBodyAcc-mean()-X"
"STANDING" "10" NA "tBodyAcc-mean()-X"
"WALKING" "10" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "10" 0.276238831213675 "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "10" 0.2792260805 "tBodyAcc-mean()-X"
"LAYING" "11" NA "tBodyAcc-mean()-X"
"SITTING" "11" NA "tBodyAcc-mean()-X"
"STANDING" "11" NA "tBodyAcc-mean()-X"
"WALKING" "11" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "11" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "11" 0.27658531139557 "tBodyAcc-mean()-X"
"LAYING" "12" NA "tBodyAcc-mean()-X"
"SITTING" "12" 0.275639357761194 "tBodyAcc-mean()-X"
"STANDING" "12" NA "tBodyAcc-mean()-X"
"WALKING" "12" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "12" 0.272145794677419 "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "12" NA "tBodyAcc-mean()-X"
"LAYING" "13" NA "tBodyAcc-mean()-X"
"SITTING" "13" 0.275895876198777 "tBodyAcc-mean()-X"
"STANDING" "13" NA "tBodyAcc-mean()-X"
"WALKING" "13" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "13" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "13" NA "tBodyAcc-mean()-X"
"LAYING" "14" NA "tBodyAcc-mean()-X"
"SITTING" "14" NA "tBodyAcc-mean()-X"
"STANDING" "14" NA "tBodyAcc-mean()-X"
"WALKING" "14" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "14" 0.268742494553279 "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "14" 0.274638681518987 "tBodyAcc-mean()-X"
"LAYING" "15" NA "tBodyAcc-mean()-X"
"SITTING" "15" NA "tBodyAcc-mean()-X"
"STANDING" "15" NA "tBodyAcc-mean()-X"
"WALKING" "15" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "15" 0.27821340725 "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "15" NA "tBodyAcc-mean()-X"
"LAYING" "16" NA "tBodyAcc-mean()-X"
"SITTING" "16" NA "tBodyAcc-mean()-X"
"STANDING" "16" NA "tBodyAcc-mean()-X"
"WALKING" "16" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "16" 0.277887440374317 "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "16" NA "tBodyAcc-mean()-X"
"LAYING" "17" NA "tBodyAcc-mean()-X"
"SITTING" "17" 0.27344147274375 "tBodyAcc-mean()-X"
"STANDING" "17" NA "tBodyAcc-mean()-X"
"WALKING" "17" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "17" 0.277950050208333 "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "17" NA "tBodyAcc-mean()-X"
"LAYING" "18" NA "tBodyAcc-mean()-X"
"SITTING" "18" 0.27795824 "tBodyAcc-mean()-X"
"STANDING" "18" 0.276177377784431 "tBodyAcc-mean()-X"
"WALKING" "18" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "18" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "18" NA "tBodyAcc-mean()-X"
"LAYING" "19" NA "tBodyAcc-mean()-X"
"SITTING" "19" 0.269723487105556 "tBodyAcc-mean()-X"
"STANDING" "19" NA "tBodyAcc-mean()-X"
"WALKING" "19" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "19" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "19" NA "tBodyAcc-mean()-X"
"LAYING" "20" 0.268210689679487 "tBodyAcc-mean()-X"
"SITTING" "20" NA "tBodyAcc-mean()-X"
"STANDING" "20" 0.268595205636364 "tBodyAcc-mean()-X"
"WALKING" "20" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "20" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "20" NA "tBodyAcc-mean()-X"
"LAYING" "21" NA "tBodyAcc-mean()-X"
"SITTING" "21" 0.277466525522059 "tBodyAcc-mean()-X"
"STANDING" "21" NA "tBodyAcc-mean()-X"
"WALKING" "21" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "21" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "21" NA "tBodyAcc-mean()-X"
"LAYING" "22" NA "tBodyAcc-mean()-X"
"SITTING" "22" 0.279241531908081 "tBodyAcc-mean()-X"
"STANDING" "22" 0.267565895829268 "tBodyAcc-mean()-X"
"WALKING" "22" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "22" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "22" NA "tBodyAcc-mean()-X"
"LAYING" "23" NA "tBodyAcc-mean()-X"
"SITTING" "23" NA "tBodyAcc-mean()-X"
"STANDING" "23" 0.273493254730108 "tBodyAcc-mean()-X"
"WALKING" "23" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "23" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "23" NA "tBodyAcc-mean()-X"
"LAYING" "24" 0.276767046391076 "tBodyAcc-mean()-X"
"SITTING" "24" NA "tBodyAcc-mean()-X"
"STANDING" "24" NA "tBodyAcc-mean()-X"
"WALKING" "24" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "24" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "24" NA "tBodyAcc-mean()-X"
"LAYING" "25" NA "tBodyAcc-mean()-X"
"SITTING" "25" NA "tBodyAcc-mean()-X"
"STANDING" "25" 0.275301467772127 "tBodyAcc-mean()-X"
"WALKING" "25" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "25" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "25" NA "tBodyAcc-mean()-X"
"LAYING" "26" NA "tBodyAcc-mean()-X"
"SITTING" "26" NA "tBodyAcc-mean()-X"
"STANDING" "26" 0.2730365808625 "tBodyAcc-mean()-X"
"WALKING" "26" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "26" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "26" NA "tBodyAcc-mean()-X"
"LAYING" "27" 0.277798919328859 "tBodyAcc-mean()-X"
"SITTING" "27" NA "tBodyAcc-mean()-X"
"STANDING" "27" 0.275223067435897 "tBodyAcc-mean()-X"
"WALKING" "27" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "27" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "27" NA "tBodyAcc-mean()-X"
"LAYING" "28" 0.277532554764398 "tBodyAcc-mean()-X"
"SITTING" "28" NA "tBodyAcc-mean()-X"
"STANDING" "28" NA "tBodyAcc-mean()-X"
"WALKING" "28" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "28" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "28" NA "tBodyAcc-mean()-X"
"LAYING" "29" 0.279111521944767 "tBodyAcc-mean()-X"
"SITTING" "29" NA "tBodyAcc-mean()-X"
"STANDING" "29" NA "tBodyAcc-mean()-X"
"WALKING" "29" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "29" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "29" NA "tBodyAcc-mean()-X"
"LAYING" "30" 0.276305836721932 "tBodyAcc-mean()-X"
"SITTING" "30" NA "tBodyAcc-mean()-X"
"STANDING" "30" NA "tBodyAcc-mean()-X"
"WALKING" "30" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "30" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "30" NA "tBodyAcc-mean()-X"
"LAYING" "1" NA "tBodyAcc-mean()-Y"
"SITTING" "1" NA "tBodyAcc-mean()-Y"
"STANDING" "1" NA "tBodyAcc-mean()-Y"
"WALKING" "1" -0.0182981725176081 "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "1" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "1" NA "tBodyAcc-mean()-Y"
"LAYING" "2" NA "tBodyAcc-mean()-Y"
"SITTING" "2" NA "tBodyAcc-mean()-Y"
"STANDING" "2" NA "tBodyAcc-mean()-Y"
"WALKING" "2" -0.0191323183174834 "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "2" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "2" NA "tBodyAcc-mean()-Y"
"LAYING" "3" NA "tBodyAcc-mean()-Y"
"SITTING" "3" NA "tBodyAcc-mean()-Y"
"STANDING" "3" NA "tBodyAcc-mean()-Y"
"WALKING" "3" -0.017856067384956 "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "3" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "3" NA "tBodyAcc-mean()-Y"
"LAYING" "4" NA "tBodyAcc-mean()-Y"
"SITTING" "4" NA "tBodyAcc-mean()-Y"
"STANDING" "4" NA "tBodyAcc-mean()-Y"
"WALKING" "4" -0.0133496817746907 "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "4" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "4" -0.0171085099442602 "tBodyAcc-mean()-Y"
"LAYING" "5" NA "tBodyAcc-mean()-Y"
"SITTING" "5" NA "tBodyAcc-mean()-Y"
"STANDING" "5" NA "tBodyAcc-mean()-Y"
"WALKING" "5" -0.0154833455336192 "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "5" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "5" NA "tBodyAcc-mean()-Y"
"LAYING" "6" NA "tBodyAcc-mean()-Y"
"SITTING" "6" NA "tBodyAcc-mean()-Y"
"STANDING" "6" NA "tBodyAcc-mean()-Y"
"WALKING" "6" -0.0163911123936864 "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "6" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "6" -0.0206949591117978 "tBodyAcc-mean()-Y"
"LAYING" "7" NA "tBodyAcc-mean()-Y"
"SITTING" "7" NA "tBodyAcc-mean()-Y"
"STANDING" "7" NA "tBodyAcc-mean()-Y"
"WALKING" "7" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "7" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "7" -0.0187904887668182 "tBodyAcc-mean()-Y"
"LAYING" "8" NA "tBodyAcc-mean()-Y"
"SITTING" "8" NA "tBodyAcc-mean()-Y"
"STANDING" "8" NA "tBodyAcc-mean()-Y"
"WALKING" "8" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "8" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "8" -0.0181894974688612 "tBodyAcc-mean()-Y"
"LAYING" "9" NA "tBodyAcc-mean()-Y"
"SITTING" "9" NA "tBodyAcc-mean()-Y"
"STANDING" "9" NA "tBodyAcc-mean()-Y"
"WALKING" "9" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "9" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "9" -0.0209466555412396 "tBodyAcc-mean()-Y"
"LAYING" "10" NA "tBodyAcc-mean()-Y"
"SITTING" "10" NA "tBodyAcc-mean()-Y"
"STANDING" "10" NA "tBodyAcc-mean()-Y"
"WALKING" "10" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "10" -0.0188857189162821 "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "10" -0.0137410699333333 "tBodyAcc-mean()-Y"
"LAYING" "11" NA "tBodyAcc-mean()-Y"
"SITTING" "11" NA "tBodyAcc-mean()-Y"
"STANDING" "11" NA "tBodyAcc-mean()-Y"
"WALKING" "11" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "11" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "11" -0.0191272531933228 "tBodyAcc-mean()-Y"
"LAYING" "12" NA "tBodyAcc-mean()-Y"
"SITTING" "12" -0.0184861388459702 "tBodyAcc-mean()-Y"
"STANDING" "12" NA "tBodyAcc-mean()-Y"
"WALKING" "12" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "12" -0.0182299075608413 "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "12" NA "tBodyAcc-mean()-Y"
"LAYING" "13" NA "tBodyAcc-mean()-Y"
"SITTING" "13" -0.0176504796070948 "tBodyAcc-mean()-Y"
"STANDING" "13" NA "tBodyAcc-mean()-Y"
"WALKING" "13" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "13" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "13" NA "tBodyAcc-mean()-Y"
"LAYING" "14" NA "tBodyAcc-mean()-Y"
"SITTING" "14" NA "tBodyAcc-mean()-Y"
"STANDING" "14" NA "tBodyAcc-mean()-Y"
"WALKING" "14" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "14" -0.0166371300659426 "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "14" -0.0150740054405063 "tBodyAcc-mean()-Y"
"LAYING" "15" NA "tBodyAcc-mean()-Y"
"SITTING" "15" NA "tBodyAcc-mean()-Y"
"STANDING" "15" NA "tBodyAcc-mean()-Y"
"WALKING" "15" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "15" -0.016464484771311 "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "15" NA "tBodyAcc-mean()-Y"
"LAYING" "16" NA "tBodyAcc-mean()-Y"
"SITTING" "16" NA "tBodyAcc-mean()-Y"
"STANDING" "16" NA "tBodyAcc-mean()-Y"
"WALKING" "16" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "16" -0.0158567888309016 "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "16" NA "tBodyAcc-mean()-Y"
"LAYING" "17" NA "tBodyAcc-mean()-Y"
"SITTING" "17" -0.0180888559772812 "tBodyAcc-mean()-Y"
"STANDING" "17" NA "tBodyAcc-mean()-Y"
"WALKING" "17" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "17" -0.0138932613754167 "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "17" NA "tBodyAcc-mean()-Y"
"LAYING" "18" NA "tBodyAcc-mean()-Y"
"SITTING" "18" -0.01729741093 "tBodyAcc-mean()-Y"
"STANDING" "18" -0.0172818741561907 "tBodyAcc-mean()-Y"
"WALKING" "18" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "18" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "18" NA "tBodyAcc-mean()-Y"
"LAYING" "19" NA "tBodyAcc-mean()-Y"
"SITTING" "19" -0.0182031515710306 "tBodyAcc-mean()-Y"
"STANDING" "19" NA "tBodyAcc-mean()-Y"
"WALKING" "19" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "19" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "19" NA "tBodyAcc-mean()-Y"
"LAYING" "20" -0.0154394352991026 "tBodyAcc-mean()-Y"
"SITTING" "20" NA "tBodyAcc-mean()-Y"
"STANDING" "20" -0.0192867074389394 "tBodyAcc-mean()-Y"
"WALKING" "20" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "20" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "20" NA "tBodyAcc-mean()-Y"
"LAYING" "21" NA "tBodyAcc-mean()-Y"
"SITTING" "21" -0.0176664578561765 "tBodyAcc-mean()-Y"
"STANDING" "21" NA "tBodyAcc-mean()-Y"
"WALKING" "21" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "21" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "21" NA "tBodyAcc-mean()-Y"
"LAYING" "22" NA "tBodyAcc-mean()-Y"
"SITTING" "22" -0.0168623073762273 "tBodyAcc-mean()-Y"
"STANDING" "22" -0.016771104312122 "tBodyAcc-mean()-Y"
"WALKING" "22" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "22" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "22" NA "tBodyAcc-mean()-Y"
"LAYING" "23" NA "tBodyAcc-mean()-Y"
"SITTING" "23" NA "tBodyAcc-mean()-Y"
"STANDING" "23" -0.019589258786828 "tBodyAcc-mean()-Y"
"WALKING" "23" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "23" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "23" NA "tBodyAcc-mean()-Y"
"LAYING" "24" -0.0176822460103885 "tBodyAcc-mean()-Y"
"SITTING" "24" NA "tBodyAcc-mean()-Y"
"STANDING" "24" NA "tBodyAcc-mean()-Y"
"WALKING" "24" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "24" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "24" NA "tBodyAcc-mean()-Y"
"LAYING" "25" NA "tBodyAcc-mean()-Y"
"SITTING" "25" NA "tBodyAcc-mean()-Y"
"STANDING" "25" -0.0193221769314914 "tBodyAcc-mean()-Y"
"WALKING" "25" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "25" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "25" NA "tBodyAcc-mean()-Y"
"LAYING" "26" NA "tBodyAcc-mean()-Y"
"SITTING" "26" NA "tBodyAcc-mean()-Y"
"STANDING" "26" -0.0161687277463495 "tBodyAcc-mean()-Y"
"WALKING" "26" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "26" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "26" NA "tBodyAcc-mean()-Y"
"LAYING" "27" -0.0169386590334393 "tBodyAcc-mean()-Y"
"SITTING" "27" NA "tBodyAcc-mean()-Y"
"STANDING" "27" -0.0162554117217949 "tBodyAcc-mean()-Y"
"WALKING" "27" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "27" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "27" NA "tBodyAcc-mean()-Y"
"LAYING" "28" -0.0191721442063089 "tBodyAcc-mean()-Y"
"SITTING" "28" NA "tBodyAcc-mean()-Y"
"STANDING" "28" NA "tBodyAcc-mean()-Y"
"WALKING" "28" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "28" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "28" NA "tBodyAcc-mean()-Y"
"LAYING" "29" -0.018471953048314 "tBodyAcc-mean()-Y"
"SITTING" "29" NA "tBodyAcc-mean()-Y"
"STANDING" "29" NA "tBodyAcc-mean()-Y"
"WALKING" "29" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "29" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "29" NA "tBodyAcc-mean()-Y"
"LAYING" "30" -0.0175856077340209 "tBodyAcc-mean()-Y"
"SITTING" "30" NA "tBodyAcc-mean()-Y"
"STANDING" "30" NA "tBodyAcc-mean()-Y"
"WALKING" "30" NA "tBodyAcc-mean()-Y"
"WALKING_DOWNSTAIRS" "30" NA "tBodyAcc-mean()-Y"
"WALKING_UPSTAIRS" "30" NA "tBodyAcc-mean()-Y"
"LAYING" "1" NA "tBodyAcc-mean()-Z"
"SITTING" "1" NA "tBodyAcc-mean()-Z"
"STANDING" "1" NA "tBodyAcc-mean()-Z"
"WALKING" "1" -0.10784573454611 "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "1" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "1" NA "tBodyAcc-mean()-Z"
"LAYING" "2" NA "tBodyAcc-mean()-Z"
"SITTING" "2" NA "tBodyAcc-mean()-Z"
"STANDING" "2" NA "tBodyAcc-mean()-Z"
"WALKING" "2" -0.115649958175497 "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "2" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "2" NA "tBodyAcc-mean()-Z"
"LAYING" "3" NA "tBodyAcc-mean()-Z"
"SITTING" "3" NA "tBodyAcc-mean()-Z"
"STANDING" "3" NA "tBodyAcc-mean()-Z"
"WALKING" "3" -0.106492632429097 "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "3" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "3" NA "tBodyAcc-mean()-Z"
"LAYING" "4" NA "tBodyAcc-mean()-Z"
"SITTING" "4" NA "tBodyAcc-mean()-Z"
"STANDING" "4" NA "tBodyAcc-mean()-Z"
"WALKING" "4" -0.105916135927835 "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "4" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "4" -0.110053359325203 "tBodyAcc-mean()-Z"
"LAYING" "5" NA "tBodyAcc-mean()-Z"
"SITTING" "5" NA "tBodyAcc-mean()-Z"
"STANDING" "5" NA "tBodyAcc-mean()-Z"
"WALKING" "5" -0.105661736816887 "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "5" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "5" NA "tBodyAcc-mean()-Z"
"LAYING" "6" NA "tBodyAcc-mean()-Z"
"SITTING" "6" NA "tBodyAcc-mean()-Z"
"STANDING" "6" NA "tBodyAcc-mean()-Z"
"WALKING" "6" -0.117900692084746 "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "6" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "6" -0.110940029325843 "tBodyAcc-mean()-Z"
"LAYING" "7" NA "tBodyAcc-mean()-Z"
"SITTING" "7" NA "tBodyAcc-mean()-Z"
"STANDING" "7" NA "tBodyAcc-mean()-Z"
"WALKING" "7" NA "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "7" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "7" -0.112492375388312 "tBodyAcc-mean()-Z"
"LAYING" "8" NA "tBodyAcc-mean()-Z"
"SITTING" "8" NA "tBodyAcc-mean()-Z"
"STANDING" "8" NA "tBodyAcc-mean()-Z"
"WALKING" "8" NA "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "8" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "8" -0.106809623683986 "tBodyAcc-mean()-Z"
"LAYING" "9" NA "tBodyAcc-mean()-Z"
"SITTING" "9" NA "tBodyAcc-mean()-Z"
"STANDING" "9" NA "tBodyAcc-mean()-Z"
"WALKING" "9" NA "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "9" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "9" -0.101233826213889 "tBodyAcc-mean()-Z"
"LAYING" "10" NA "tBodyAcc-mean()-Z"
"SITTING" "10" NA "tBodyAcc-mean()-Z"
"STANDING" "10" NA "tBodyAcc-mean()-Z"
"WALKING" "10" NA "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "10" -0.112087661002564 "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "10" -0.1082356298 "tBodyAcc-mean()-Z"
"LAYING" "11" NA "tBodyAcc-mean()-Z"
"SITTING" "11" NA "tBodyAcc-mean()-Z"
"STANDING" "11" NA "tBodyAcc-mean()-Z"
"WALKING" "11" NA "tBodyAcc-mean()-Z"
"WALKING_DOWNSTAIRS" "11" NA "tBodyAcc-mean()-Z"
"WALKING_UPSTAIRS" "11" -0.108941761642405 "tBodyAcc-mean()-Z"
"LAYING" "12" NA "tBodyAcc-mean()-Z"
"SITTING" "12" -0.107917262447761 "tBodyAcc-mean()-Z"
"STANDING" "12" NA "tBodyAcc-mean()-Z"
